ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
ROST,2025-04-01,2025-04-01,127.58452606201172,0.0760591598551412,0.0215766429451025,0.0078369905956112,0.0071168347030416,23606,-0.0003267980862146,-6.387994903567836e-05,-0.16184892448229382
ROST,2024-04-02,2024-04-02,140.48837280273438,-0.1103840471743053,0.0075725699643511,0.0081637886818259,0.0071807146520772,23396,0.0001759138661615,-0.0001927082546898,0.05104321482200125
ROST,2023-03-28,2023-03-28,99.74111938476562,0.0233662309990125,0.0538343587846588,0.0079878748156644,0.0073734229067671,24412,0.0002833244286283,0.0001029316964654,-0.125782273634381
ROST,2022-03-29,2022-03-29,91.1993408203125,0.0902145615408811,-0.2456292120920085,0.007704550387036,0.0072704912103016,27646,9.34104458494532e-05,0.0006626378977259,-0.1807726040404114
ROST,2021-03-30,2021-03-30,113.64674377441406,0.0897157917081377,0.0172130516935322,0.0076111399411866,0.0066078533125756,28905,0.0003286143613155,-0.0014393374531818,-0.01884175116915776
ROST,2020-03-31,2020-03-31,81.91462707519531,0.0504770826530351,-0.0198917471397673,0.0072825255798711,0.0080471907657575,27463,0.0008554148582818,-0.0009257235533443,-0.26925833961844103
ROST,2019-04-02,2019-04-02,87.40967559814453,0.0277307394168488,0.0498415766624324,0.0064271107215892,0.0089729143191018,23961,0.000111321247905,0.0003413353717334,0.1361795544972224
ROST,2018-04-03,2018-04-03,70.29491424560547,0.0460632786303432,0.1127594303913901,0.0063157894736842,0.0086315789473684,23750,5.9133456644806445e-05,0.0009105991816602,
ROST,2017-03-28,2018-01-02,74.04419708251953,0.0186335646922897,-0.0203605910735167,0.0062566560170394,0.0077209797657082,22536,0.000313872583124,0.0008107664704578,
ROST,2016-03-29,2018-01-02,74.04419708251953,0.0186335646922897,-0.0203605910735167,0.0059427834339153,0.0069102132952503,21707,0.0020476610573093,0.0004571001041568,
ROST,2015-03-31,2018-01-02,74.04419708251953,0.0186335646922897,-0.0203605910735167,0.003895122376606,0.0064531131910935,17201,-3.960192201328538e-06,0.0002604526406348,
TPR,2025-08-14,2025-08-14,94.4730987548828,0.1556904274630459,0.0907569367713774,0.0109272973024424,0.0061109101639094,52529,0.000969057662224,-0.0005346086282524,0.3696109789897517
TPR,2024-08-15,2024-08-15,37.83049774169922,0.1129896850249037,0.3188131375517569,0.0099582396402184,0.0066455187921619,49808,0.0002856507050126,-0.0004369208047461,-0.10317432375504265
TPR,2023-08-17,2023-08-17,32.17302703857422,-0.112728341565522,-0.0978285897761503,0.0096725889352057,0.007082439596908,49418,7.133676394847042e-05,-3.7375631479629086e-05,-0.20438392793645233
TPR,2022-08-18,2022-08-18,33.87281036376953,-0.1107082067410142,-0.0776817732061767,0.0096012521712573,0.0071198152283876,52389,0.0001098964283132,3.498984623061686e-05,0.17374403598675525
TPR,2021-08-19,2021-08-19,35.28608322143555,-0.0479116024966391,0.1319358251076887,0.009491355742944,0.007084825382157,51942,0.0002553831473322,0.0011876785605457,-0.04930087847511899
